group_id,GracePeriod,loanamount,Age,Married,Years_Education,HH_Size,Shock_Any,Has_Business,Homeowner
86,0,8000,42,1,8,4,1,1,1
86,0,6000,44,1,11,5,1,0,1
86,0,8000,34,1,11,4,1,1,0
87,1,8000,19,0,10,4,1,0,0
87,1,8000,41,1,8,3,1,0,0
87,1,8000,41,1,10,4,1,1,1
87,1,8000,33,1,9,4,1,1,1
87,1,6000,32,1,0,4,1,1,0
88,1,8000,45,0,0,5,0,0,0
88,1,8000,31,1,7,4,1,1,1
88,1,8000,25,1,1,3,1,1,1
88,1,8000,51,1,6,4,1,1,1
88,1,8000,25,1,9,4,1,1,1
89,1,6000,25,1,12,6,1,1,1
89,1,6000,36,1,8,3,1,0,1
89,1,6000,38,1,11,2,1,1,1
89,1,6000,36,1,10,8,1,1,1
89,1,6000,45,1,10,3,1,1,1
90,1,6000,27,0,9,3,1,1,1
90,1,6000,26,1,8,4,1,1,1
90,1,6000,31,1,6,7,1,0,1
90,1,6000,26,0,10,5,1,0,1
90,1,6000,25,1,9,4,1,1,1
91,0,6000,28,1,6,5,0,1,1
91,0,6000,31,1,10,4,0,1,0
91,0,6000,39,0,0,3,0,1,1
91,0,6000,36,1,2,6,0,1,0
91,0,8000,45,0,6,2,1,1,0
92,0,6000,26,1,5,4,1,0,1
92,0,6000,45,1,9,8,0,0,1
92,0,8000,45,1,0,7,0,0,1
92,0,8000,30,1,0,5,0,1,1
92,0,6000,32,1,4,4,0,1,1
93,0,8000,40,1,8,3,0,1,1
93,0,5000,25,1,8,3,0,0,1
93,0,8000,23,1,11,6,0,0,1
93,0,8000,28,1,11,4,0,1,1
93,0,8000,30,1,12,5,0,1,1
94,0,8000,25,1,9,4,0,1,1
94,0,6000,19,0,10,2,0,1,1
94,0,6000,28,1,7,5,1,0,1
94,0,8000,32,1,10,5,0,1,1
94,0,8000,30,1,7,4,0,1,1
95,0,6000,36,0,8,1,0,1,1
95,0,6000,38,1,4,4,0,1,1
95,0,6000,23,1,9,5,0,1,1
95,0,6000,32,1,11,4,0,1,1
95,0,6000,30,1,9,4,0,1,1
96,0,8000,40,1,7,5,0,1,0
96,0,6000,26,1,8,4,0,1,1
96,0,8000,35,1,6,4,0,1,1
96,0,6000,21,1,5,5,0,1,0
96,0,8000,51,1,0,4,1,1,1
97,0,6000,39,1,5,5,1,1,1
97,0,8000,24,1,9,5,1,1,1
97,0,8000,38,1,8,4,0,1,1
97,0,8000,35,1,8,4,1,1,1
97,0,8000,33,1,4,4,1,1,1
98,0,6000,48,1,4,2,1,1,1
98,0,6000,47,0,5,3,1,1,1
98,0,6000,27,1,11,5,1,1,1
98,0,6000,45,1,10,3,0,1,1
98,0,6000,50,1,5,5,1,0,1
99,1,8000,28,1,11,4,1,1,1
99,1,8000,43,0,2,2,1,1,0
99,1,8000,26,1,0,4,1,1,0
99,1,8000,36,1,0,4,1,0,1
99,1,8000,56,1,0,6,1,1,1
100,1,8000,42,1,0,3,1,1,1
100,1,8000,45,0,8,2,1,1,1
100,1,8000,20,0,11,5,1,1,1
100,1,8000,41,1,11,8,1,1,1
100,1,8000,29,1,12,6,1,1,1
101,1,6000,40,1,8,2,0,1,1
101,1,6000,53,0,12,4,0,1,1
101,1,8000,36,0,10,5,0,1,1
101,1,8000,30,0,5,4,1,1,0
101,1,6000,25,1,8,4,1,1,1
102,1,8000,46,1,11,3,1,1,0
102,1,8000,19,0,9,2,1,1,0
102,1,8000,29,1,8,3,1,1,0
102,1,8000,36,1,9,4,1,1,1
102,1,8000,25,1,6,3,1,1,0
103,1,8000,26,1,12,3,1,1,0
103,1,8000,36,1,12,4,1,1,1
103,1,8000,34,0,8,4,1,0,1
103,1,4000,24,1,15,3,0,1,1
103,1,8000,51,1,5,5,1,1,1
104,1,8000,29,0,12,4,1,1,1
104,1,6000,28,0,10,2,1,1,1
104,1,6000,33,1,9,4,0,1,1
104,1,8000,42,1,12,3,0,1,1
104,1,6000,46,1,0,4,0,1,0
105,1,8000,36,1,1,3,1,1,1
105,1,8000,18,0,5,5,0,1,1
105,1,8000,22,0,8,4,1,1,1
105,1,8000,46,1,0,3,1,1,1
105,1,8000,34,1,2,6,1,1,1
106,1,8000,33,1,10,2,1,1,1
106,1,6000,21,1,8,4,1,1,0
106,1,8000,34,1,7,4,1,1,1
106,1,8000,40,1,9,5,0,1,1
106,1,8000,29,1,8,4,1,1,1
107,1,6000,25,1,0,3,0,1,1
107,1,8000,19,1,0,3,1,1,1
107,1,8000,39,1,3,6,1,1,1
107,1,6000,20,1,7,3,0,1,1
107,1,8000,49,0,7,5,1,1,1
108,0,8000,24,1,10,4,1,0,1
108,0,8000,31,0,10,3,1,1,1
108,0,8000,40,1,1,5,1,1,1
108,0,8000,38,1,8,7,1,1,1
108,0,6000,28,1,6,8,1,1,1
109,0,8000,36,1,0,4,1,1,1
109,0,8000,27,1,8,3,1,0,1
109,0,8000,45,1,0,10,1,0,1
109,0,6000,23,1,11,4,1,1,1
109,0,8000,36,1,4,3,1,1,1
110,0,8000,36,1,12,3,1,1,1
110,0,8000,27,1,8,3,1,0,1
110,0,8000,27,1,5,4,1,1,1
110,0,8000,23,1,11,5,1,1,0
110,0,6000,23,1,10,3,1,1,1
111,0,8000,26,1,9,3,1,0,1
111,0,8000,33,1,7,4,1,1,0
111,0,8000,26,1,9,3,1,0,1
111,0,8000,41,1,8,2,1,1,1
111,0,8000,37,1,8,3,1,1,1
112,1,8000,36,1,8,3,1,1,1
112,1,8000,31,1,10,5,1,1,0
112,1,8000,41,1,8,4,1,1,1
112,1,8000,40,1,7,3,1,1,1
112,1,8000,46,1,10,4,1,1,1
113,0,6000,39,0,0,4,0,0,0
113,0,8000,42,1,10,2,1,1,1
113,0,8000,23,0,8,4,1,1,1
113,0,6000,49,1,7,4,0,0,1
113,0,6000,35,1,3,4,1,0,1
114,0,8000,40,1,9,5,1,1,0
114,0,8000,39,1,5,3,1,1,1
114,0,8000,45,1,11,3,1,1,1
114,0,8000,37,1,9,7,1,1,1
114,0,6000,40,1,9,2,0,0,1
115,0,6000,42,1,4,4,1,1,1
115,0,8000,36,1,10,4,1,1,1
115,0,6000,29,1,8,4,1,1,1
115,0,8000,45,1,7,4,1,0,1
115,0,8000,41,1,5,6,1,1,1
116,1,8000,31,1,5,4,1,1,1
116,1,8000,41,1,8,4,1,0,1
116,1,8000,27,1,7,5,1,1,1
116,1,6000,26,1,10,3,1,1,1
116,1,8000,36,1,1,4,1,1,1
117,1,8000,46,1,9,3,1,1,1
117,1,8000,27,1,5,4,1,1,0
117,1,8000,51,1,9,3,1,1,1
117,1,8000,36,0,0,5,1,1,1
117,1,8000,27,1,6,6,1,1,0
118,0,8000,42,1,0,5,1,1,1
118,0,8000,36,1,6,4,1,1,1
118,0,6000,45,1,12,3,1,0,1
118,0,6000,35,1,12,7,1,1,1
118,0,6000,27,1,12,2,1,1,1
119,1,8000,32,1,9,4,1,1,1
119,1,6000,28,1,12,4,0,0,1
119,1,8000,29,1,11,2,0,0,1
119,1,8000,35,1,6,4,0,1,1
119,1,6000,36,1,12,3,0,0,1
120,1,8000,46,1,9,4,0,0,1
120,1,8000,38,1,10,4,0,1,1
120,1,6000,33,1,8,4,0,0,1
120,1,8000,35,1,9,4,1,1,1
120,1,8000,20,0,9,4,0,1,1
121,1,8000,30,1,5,4,1,1,1
121,1,8000,32,1,9,6,1,1,1
121,1,8000,27,1,6,7,1,0,1
121,1,6000,42,1,9,3,1,1,1
121,1,8000,26,1,9,5,0,0,0
122,1,8000,40,1,0,6,0,1,1
122,1,8000,29,1,10,4,0,1,0
122,1,6000,45,1,3,3,1,0,1
122,1,8000,28,1,8,4,0,1,1
122,1,8000,19,1,10,3,0,1,1
123,0,6000,24,1,9,8,1,1,1
123,0,6000,33,1,9,3,1,1,1
123,0,8000,32,1,6,4,1,1,1
123,0,8000,33,1,12,3,1,1,1
123,0,8000,46,1,12,4,1,0,0
124,1,6000,37,1,10,4,1,1,1
124,1,6000,37,1,4,4,1,1,1
124,1,8000,40,0,11,4,1,1,1
124,1,8000,30,1,8,3,1,1,1
124,1,6000,32,1,8,4,1,1,1
125,0,8000,23,1,9,3,1,1,1
125,0,8000,30,0,6,1,1,1,0
125,0,6000,36,1,1,5,1,1,0
125,0,6000,48,1,8,4,1,1,1
125,0,6000,24,1,8,5,1,1,1
126,0,8000,41,0,5,3,1,1,1
126,0,8000,46,1,10,3,1,1,1
126,0,8000,39,1,9,3,1,1,1
126,0,8000,24,1,10,2,1,0,0
126,0,8000,21,1,5,10,1,1,1
127,0,8000,26,1,7,4,1,1,1
127,0,8000,36,1,0,8,1,1,1
127,0,8000,33,1,5,5,1,1,0
127,0,8000,30,1,7,4,1,1,1
127,0,8000,33,1,8,3,1,0,1
128,1,5000,47,0,6,4,1,0,1
128,1,8000,46,1,8,4,1,1,1
128,1,5000,37,1,8,5,1,1,1
128,1,8000,50,1,15,4,1,0,1
128,1,5000,29,1,1,3,1,0,1
129,0,6000,32,1,4,2,0,1,1
129,0,4000,36,1,3,3,0,0,1
129,0,4000,31,1,6,4,0,0,1
129,0,8000,23,1,8,8,0,1,1
129,0,8000,46,1,15,8,0,1,1
130,1,8000,29,1,10,3,0,1,1
130,1,8000,46,1,8,6,0,1,1
130,1,8000,26,0,10,4,0,1,0
130,1,8000,38,1,9,3,0,1,1
130,1,8000,28,1,12,3,0,1,1
131,1,6000,48,1,10,5,1,0,1
131,1,6000,30,1,9,4,1,1,1
131,1,6000,41,1,1,2,1,1,0
131,1,6000,43,1,11,4,1,1,1
131,1,6000,36,1,8,4,1,1,1
132,0,6000,36,1,10,3,1,1,1
132,0,6000,33,1,9,4,1,1,1
132,0,6000,36,1,11,3,1,1,1
132,0,6000,39,1,10,3,1,1,0
132,0,6000,30,1,10,3,1,1,1
133,1,8000,46,1,0,6,0,1,0
133,1,8000,35,1,8,4,0,1,1
133,1,8000,41,1,0,4,0,1,1
133,1,6000,30,1,8,3,0,1,1
133,1,8000,40,1,1,4,0,1,1
134,0,8000,31,1,8,4,0,1,0
134,0,6000,20,1,5,5,0,0,0
134,0,8000,46,1,8,4,0,1,1
134,0,8000,26,1,9,3,0,1,1
134,0,8000,28,0,10,4,0,1,1
135,0,6000,45,1,3,3,0,1,0
135,0,6000,29,1,4,4,0,0,1
135,0,8000,26,1,10,2,0,1,0
135,0,5000,45,0,5,2,0,0,1
135,0,6000,37,1,1,4,0,1,1
136,0,8000,29,1,15,5,1,1,1
136,0,8000,40,1,0,3,1,1,1
136,0,8000,33,1,7,5,1,1,1
136,0,8000,26,1,8,4,1,1,1
136,0,8000,29,1,2,4,1,1,0
137,0,8000,39,1,0,3,1,1,1
137,0,8000,46,1,1,3,1,1,1
137,0,8000,29,1,8,3,1,1,0
137,0,8000,31,1,10,9,1,1,1
137,0,5000,44,1,6,4,1,1,1
138,1,6000,29,1,11,4,1,1,0
138,1,6000,47,1,11,2,1,1,1
138,1,4000,45,1,0,3,1,1,1
138,1,6000,27,0,8,4,1,1,1
138,1,6000,37,1,10,4,1,1,1
139,0,5000,34,0,0,5,1,1,1
139,0,8000,33,1,12,3,0,1,0
139,0,8000,19,1,8,3,0,0,1
139,0,8000,31,1,5,5,0,1,1
139,0,8000,47,1,9,3,1,1,1
140,1,8000,30,1,10,7,0,1,1
140,1,8000,35,1,11,3,0,1,1
140,1,8000,35,1,10,3,0,0,1
140,1,8000,33,1,8,3,1,0,1
140,1,6000,28,1,9,4,0,0,1
141,0,4000,28,1,6,4,1,1,0
141,0,5000,24,1,6,4,1,0,0
141,0,8000,33,1,11,4,1,1,1
141,0,8000,52,1,10,4,1,1,1
141,0,4000,26,1,8,4,0,0,1
142,1,8000,28,1,10,4,1,1,1
142,1,8000,34,1,5,6,1,1,1
142,1,8000,30,1,8,4,1,1,1
142,1,5000,42,1,0,4,1,1,1
142,1,5000,37,0,3,6,0,1,1
143,1,8000,33,1,7,4,1,1,1
143,1,8000,27,1,0,3,1,1,0
143,1,8000,30,1,6,5,1,1,1
143,1,8000,47,1,10,2,1,0,1
143,1,8000,25,1,8,3,1,1,1
144,0,8000,24,1,7,5,1,0,1
144,0,8000,21,1,7,2,1,0,0
144,0,8000,32,1,3,4,1,0,1
144,0,8000,30,1,6,4,1,0,1
144,0,8000,25,1,6,4,1,0,1
145,1,10000,45,1,0,5,1,1,1
145,1,10000,30,0,10,2,0,1,1
145,1,10000,28,1,9,4,1,1,0
145,1,10000,26,1,3,5,0,1,1
145,1,10000,32,1,0,5,0,1,1
146,1,10000,28,1,9,4,0,0,1
146,1,8000,35,1,1,3,1,1,1
146,1,10000,32,1,12,5,1,1,1
146,1,10000,50,0,0,2,0,1,1
146,1,10000,24,1,8,3,0,1,1
147,0,8000,30,1,7,4,1,0,1
147,0,6000,28,1,4,4,1,0,1
147,0,8000,26,1,7,4,1,0,0
147,0,7000,35,1,0,3,1,0,1
147,0,8000,34,0,7,6,0,0,1
148,0,6000,45,0,7,4,0,1,1
148,0,6000,40,1,4,3,0,1,1
148,0,6000,34,1,8,5,1,1,1
148,0,6000,45,1,2,4,1,1,1
148,0,6000,45,1,4,6,1,1,1
149,0,6000,38,1,9,5,0,0,1
149,0,6000,28,1,5,5,0,1,1
149,0,6000,28,1,8,5,0,1,1
149,0,6000,40,1,5,4,0,1,1
149,0,6000,27,1,7,5,0,1,1
150,1,8000,41,1,0,6,1,1,0
150,1,8000,46,1,0,7,0,0,0
150,1,6000,31,0,10,9,0,0,1
150,1,8000,39,1,12,4,1,0,0
150,1,6000,40,1,6,6,0,1,1
151,1,8000,32,0,10,9,0,0,1
151,1,8000,51,0,10,1,0,0,1
151,1,8000,46,1,10,3,0,0,1
151,1,8000,49,1,10,2,0,1,0
151,1,8000,33,1,11,3,1,0,1
152,0,8000,25,1,3,3,0,0,1
152,0,6000,30,1,8,3,0,0,1
152,0,8000,42,0,7,5,1,1,1
152,0,8000,40,1,9,4,0,1,1
152,0,6000,29,1,7,3,0,0,1
153,0,8000,31,1,7,3,1,1,1
153,0,6000,49,1,9,3,1,0,0
153,0,8000,25,1,10,2,1,1,0
153,0,6000,32,1,12,4,1,1,0
153,0,8000,36,1,9,5,1,1,1
154,0,8000,28,1,10,5,1,1,1
154,0,8000,41,1,8,4,0,1,1
154,0,8000,39,0,10,2,0,1,1
154,0,8000,20,0,10,3,1,1,1
154,0,6000,28,1,7,4,1,1,1
155,1,8000,29,1,5,6,0,1,1
155,1,8000,39,1,0,4,0,0,0
155,1,8000,31,1,0,3,0,0,0
155,1,8000,37,1,1,6,0,0,0
155,1,8000,39,1,2,4,0,0,0
156,0,8000,32,1,5,4,0,0,0
156,0,8000,43,1,4,2,0,0,1
156,0,6000,45,0,6,3,0,1,1
156,0,8000,40,1,8,11,0,0,1
156,0,8000,41,1,5,4,0,0,0
157,1,8000,27,1,9,3,0,0,1
157,1,8000,26,1,12,3,1,1,1
157,1,8000,45,1,7,3,1,1,0
157,1,8000,38,1,8,5,1,0,1
157,1,8000,39,1,8,3,1,0,1
158,1,6000,42,1,0,4,0,0,0
158,1,8000,28,0,10,2,0,0,1
158,1,8000,51,1,0,8,0,1,0
158,1,8000,48,1,10,4,0,0,1
158,1,6000,45,1,0,4,0,0,0
159,0,6000,38,1,8,5,0,0,0
159,0,6000,37,1,8,8,0,1,0
159,0,8000,35,1,0,2,0,1,1
159,0,8000,40,1,4,3,0,0,0
159,0,8000,37,1,0,4,0,0,1
160,0,8000,29,1,5,4,0,0,0
160,0,8000,33,1,12,3,0,0,1
160,0,8000,28,1,9,3,0,0,1
160,0,8000,37,1,5,3,0,0,0
160,0,8000,22,1,8,2,0,0,0
161,0,8000,39,1,5,2,0,0,0
161,0,8000,36,1,9,4,0,0,0
161,0,6000,39,1,0,3,0,0,0
161,0,8000,28,0,0,3,0,0,0
161,0,8000,42,1,0,4,0,0,0
162,0,8000,27,1,9,3,0,1,0
162,0,8000,42,1,0,4,0,1,0
162,0,8000,50,1,8,4,0,1,1
162,0,6000,29,1,7,4,0,0,1
162,0,6000,30,1,10,4,0,0,1
163,0,8000,37,1,6,5,0,0,0
163,0,8000,48,1,8,5,1,1,0
163,0,6000,27,1,5,3,0,1,0
163,0,6000,38,1,5,3,0,1,1
163,0,6000,25,1,8,3,1,0,1
164,0,8000,46,1,10,3,0,0,0
164,0,8000,25,1,10,3,1,0,0
164,0,8000,39,1,8,3,1,1,1
164,0,8000,46,1,7,3,1,0,0
164,0,8000,29,1,10,3,1,0,1
165,1,8000,31,1,8,3,1,0,1
165,1,8000,36,1,5,5,1,1,1
165,1,8000,31,1,9,4,0,0,1
165,1,8000,28,0,9,6,0,0,1
165,1,6000,32,1,4,4,0,0,0
166,1,8000,38,1,1,2,0,0,0
166,1,8000,46,1,0,5,0,0,0
166,1,8000,33,1,2,5,0,0,0
166,1,8000,31,1,10,4,0,0,0
166,1,8000,23,0,10,3,0,0,0
167,0,5000,31,1,8,4,0,1,0
167,0,8000,27,1,8,4,1,1,1
167,0,8000,24,1,9,4,0,1,1
167,0,8000,24,1,7,6,1,1,1
167,0,8000,39,1,10,3,0,1,1
168,1,9000,28,1,12,3,1,1,1
168,1,9000,40,1,12,4,1,1,1
168,1,6000,34,1,8,4,1,1,1
168,1,6000,46,1,11,4,0,1,1
168,1,6000,34,1,8,4,1,1,1
169,1,8000,38,1,5,4,0,0,0
169,1,8000,26,1,7,5,0,1,1
169,1,8000,26,1,5,5,0,1,0
169,1,8000,33,1,6,4,0,0,0
169,1,8000,28,1,2,6,0,0,0
