Date,DayInData,DayOfWeek,Month,NumberOfLunchSales,Weekend,HighSeason,NumberOfOpenCompetitors,PrecipitationMm,LunchtimeTemperatureCelsius,HumidityPct
2019-02-24,358,Sunday,2,107,1,0,10,0,32,81.5
2019-02-25,359,Monday,2,115,0,0,10,31.799999,24,94.5
2019-02-26,360,Tuesday,2,114,0,0,10,8.6999998,24.9,70.75
2019-02-27,361,Wednesday,2,135,0,0,10,.2,24.700001,70.25
2019-02-28,362,Thursday,2,113,0,0,10,0,29.200001,67.25
2019-03-01,363,Friday,3,102,0,1,10,0,31.4,69
2019-03-02,364,Saturday,3,89,1,1,10,0,31.5,54.5
2019-03-07,365,Thursday,3,65,0,1,10,0,33.700001,70.5
2019-03-08,366,Friday,3,58,0,1,10,.1,30.1,84
2019-03-10,367,Sunday,3,92,1,1,10,7.3000002,24.9,71.5
2019-03-11,368,Monday,3,107,0,1,10,0,27.200001,73
2019-03-12,369,Tuesday,3,108,0,1,10,0,28.799999,70.75
2019-03-13,370,Wednesday,3,112,0,1,10,.30000001,28,77
2019-03-14,371,Thursday,3,95,0,1,10,.80000001,28.9,72
2019-03-15,372,Friday,3,107,0,1,10,0,30.200001,75.75
2019-03-16,373,Saturday,3,114,1,1,10,0,31,74.5
2019-03-17,374,Sunday,3,98,1,1,10,0,25.700001,88
2019-03-18,375,Monday,3,88,0,1,10,10.1,27.700001,90.5
2019-03-19,376,Tuesday,3,98,0,1,10,.69999999,29.9,75.25
2019-03-20,377,Wednesday,3,108,0,1,10,0,25.200001,75.5
2019-03-21,378,Thursday,3,106,0,1,10,.60000002,24.1,65.75
2019-03-22,379,Friday,3,92,0,1,10,0,26.299999,72
2019-03-23,380,Saturday,3,108,1,1,10,0,27.700001,74.75
2019-03-24,381,Sunday,3,125,1,1,10,0,29.6,62.5
2019-03-25,382,Monday,3,107,0,1,10,0,25.200001,64
2019-03-26,383,Tuesday,3,103,0,1,10,0,27.1,75.5
2019-03-27,384,Wednesday,3,94,0,1,10,0,24.4,82.25
2019-03-28,385,Thursday,3,95,0,1,10,1.9,27.6,74.25
2019-03-29,386,Friday,3,90,0,1,10,0,29.1,73.25
2019-03-30,387,Saturday,3,107,1,1,10,0,32.099998,68.5
2019-03-31,388,Sunday,3,94,1,1,10,.1,30.200001,76
2019-04-01,389,Monday,4,99,0,1,10,0,31.4,79
2019-04-02,390,Tuesday,4,98,0,1,10,0,32.900002,70
2019-04-03,391,Wednesday,4,105,0,1,10,0,32.599998,72.5
2019-04-04,392,Thursday,4,89,0,1,10,0,34,76.5
2019-04-05,393,Friday,4,84,0,1,10,50.700001,25.700001,85.75
2019-04-06,394,Saturday,4,99,1,1,10,.1,24,93.5
2019-04-07,395,Sunday,4,80,1,1,10,6.4000001,24.6,81.75
2019-04-08,396,Monday,4,89,0,1,10,.2,26.200001,72.5
2019-04-09,397,Tuesday,4,103,0,1,10,0,26.5,70.75
2019-04-10,398,Wednesday,4,95,0,1,10,0,29.4,67
2019-04-11,399,Thursday,4,82,0,1,10,0,31,76.75
2019-04-12,400,Friday,4,97,0,1,10,24,24.1,83.5
2019-04-13,401,Saturday,4,104,1,1,10,0,30.299999,82
2019-04-14,402,Sunday,4,82,1,1,10,0,32.200001,68.75
2019-04-15,403,Monday,4,98,0,1,10,0,26.9,87.25
2019-04-16,404,Tuesday,4,95,0,1,10,52.700001,22.6,94
2019-04-17,405,Wednesday,4,107,0,1,10,15.2,24.700001,82.75
2019-04-18,406,Thursday,4,91,0,1,10,.1,26.200001,82.25
2019-04-20,407,Saturday,4,100,1,1,10,0,27.1,82.75
2019-04-21,408,Sunday,4,116,1,1,10,0,23,82.25
2019-04-22,409,Monday,4,107,0,1,10,.40000001,21.4,76.5
2019-04-23,410,Tuesday,4,95,0,1,10,0,25,79.25
2019-04-24,411,Wednesday,4,104,0,1,10,0,29.200001,81.25
2019-04-25,412,Thursday,4,103,0,1,10,0,23,91.5
2019-04-26,413,Friday,4,97,0,1,10,14.9,25.700001,92
2019-04-27,414,Saturday,4,102,1,1,10,73.699997,23.200001,91.5
2019-04-28,415,Sunday,4,118,1,1,10,2.5,24.200001,83.5
2019-04-29,416,Monday,4,101,0,1,10,.1,24.799999,81.5
2019-04-30,417,Tuesday,4,92,0,1,10,0,25.200001,85.25
2019-05-01,418,Wednesday,5,72,0,1,10,.40000001,27.1,74.75
2019-05-02,419,Thursday,5,90,0,1,10,.1,25.6,79.75
2019-05-03,420,Friday,5,90,0,1,10,0,28.6,87.75
2019-05-04,421,Saturday,5,75,1,1,10,43,28.5,89
2019-05-05,422,Sunday,5,98,1,1,10,0,30,86.5
2019-05-06,423,Monday,5,101,0,1,10,12,24.799999,86
2019-05-07,424,Tuesday,5,127,0,1,10,1.5,22.9,77.5
2019-05-08,425,Wednesday,5,147,0,1,10,0,22.1,81.75
2019-05-09,426,Thursday,5,149,0,1,10,0,25.5,82.75
2019-05-11,427,Saturday,5,131,1,1,10,18.6,20.6,89
2019-05-12,428,Sunday,5,143,1,1,10,.89999998,21.5,84
2019-05-13,429,Monday,5,91,0,1,10,.69999999,21.700001,89.75
2019-05-14,430,Tuesday,5,81,0,1,10,3,20.5,94.25
2019-05-15,431,Wednesday,5,99,0,1,10,2.2,22.9,91.75
2019-05-16,432,Thursday,5,94,0,1,10,1.7,23.9,77.75
2019-05-17,433,Friday,5,90,0,1,10,0,25.299999,72
2019-05-18,434,Saturday,5,80,1,1,10,0,26.9,82.25
2019-05-19,435,Sunday,5,93,1,1,10,0,28.1,80
2019-05-20,436,Monday,5,86,0,1,10,0,25.799999,88
2019-05-21,437,Tuesday,5,103,0,1,10,6,21.700001,90.25
2019-05-22,438,Wednesday,5,83,0,1,10,3.5999999,22.700001,94.5
2019-05-23,439,Thursday,5,114,0,1,10,9.1999998,19.9,89.5
2019-05-24,440,Friday,5,96,0,1,10,34.5,18,89.25
2019-05-25,441,Saturday,5,106,1,1,10,7.1999998,20.6,82.75
2019-05-26,442,Sunday,5,112,1,1,10,.1,24,80.5
2019-05-27,443,Monday,5,119,0,1,10,4.0999999,25.299999,90.75
2019-05-28,444,Tuesday,5,100,0,1,10,66.199997,20.1,92.5
2019-05-29,445,Wednesday,5,98,0,1,10,.30000001,22.1,81.25
2019-05-30,446,Thursday,5,85,0,1,10,.2,16.799999,93.5
2019-05-31,447,Friday,5,107,0,1,10,24,17.6,94.5
2019-06-01,448,Saturday,6,114,1,1,10,4.0999999,19.799999,89.25
2019-06-02,449,Sunday,6,105,1,1,10,.80000001,21.4,88.5
2019-06-03,450,Monday,6,98,0,1,10,1.8,22.1,84.75
2019-06-04,451,Tuesday,6,112,0,1,10,.30000001,20.9,88.5
2019-06-05,452,Wednesday,6,96,0,1,10,.1,23.200001,80
2019-06-06,453,Thursday,6,95,0,1,10,0,25,82.25
2019-06-07,454,Friday,6,110,0,1,10,0,25.9,75
2019-06-08,455,Saturday,6,93,1,1,10,0,20.200001,88
2019-06-09,456,Sunday,6,85,1,1,10,.2,24,81.5
2019-06-10,457,Monday,6,87,0,1,10,0,26.200001,81
2019-06-11,458,Tuesday,6,77,0,1,10,0,27,83
2019-06-12,459,Wednesday,6,84,0,1,10,0,27.700001,79.75
2019-06-13,460,Thursday,6,94,0,1,10,0,28.799999,78.75
2019-06-14,461,Friday,6,68,0,1,10,0,30.299999,78.25
2019-06-15,462,Saturday,6,83,1,1,10,0,29.5,81.75
2019-06-16,463,Sunday,6,95,1,1,10,0,29.6,86
2019-06-17,464,Monday,6,100,0,1,10,0,26,87.5
2019-06-18,465,Tuesday,6,93,0,1,10,0,27.200001,73
2019-06-19,466,Wednesday,6,102,0,1,10,9.3999996,23.6,67.25
2019-06-20,467,Thursday,6,96,0,1,10,0,19.6,79
2019-06-21,468,Friday,6,102,0,1,10,0,25.1,80
2019-06-22,469,Saturday,6,99,1,1,10,0,27.700001,84.75
2019-06-23,470,Sunday,6,113,1,1,10,.1,28.1,79.25
2019-06-24,471,Monday,6,111,0,1,10,0,27.9,71.75
2019-06-25,472,Tuesday,6,95,0,1,10,0,29.1,70.75
2019-06-26,473,Wednesday,6,107,0,1,10,16.200001,13.9,72.5
2019-06-27,474,Thursday,6,94,0,1,10,0,21.299999,83.75
2019-06-28,475,Friday,6,101,0,1,10,.2,22.799999,93.75
2019-06-29,476,Saturday,6,104,1,1,10,4,30.4,65.75
2019-06-30,477,Sunday,6,111,1,1,10,7.1999998,27.1,92.75
2019-07-01,478,Monday,7,110,0,1,11,26.4,16.6,83.75
2019-07-02,479,Tuesday,7,103,0,1,11,.30000001,15.7,85.25
2019-07-03,480,Wednesday,7,102,0,1,11,0,14.7,63.5
2019-07-04,481,Thursday,7,123,0,1,11,0,13.6,64.5
2019-07-05,482,Friday,7,121,0,1,11,0,10.9,58.5
2019-07-06,483,Saturday,7,119,1,1,11,0,11.9,73.5
2019-07-07,484,Sunday,7,126,1,1,11,0,13.9,75.75
2019-07-08,485,Monday,7,109,0,1,11,0,19.700001,78
2019-07-09,486,Tuesday,7,99,0,1,11,0,19.9,85.25
2019-07-10,487,Wednesday,7,96,0,1,11,.1,21.6,80
2019-07-11,488,Thursday,7,106,0,1,11,0,26.299999,74
2019-07-12,489,Friday,7,94,0,1,11,0,28.1,77
2019-07-13,490,Saturday,7,84,1,1,11,3,18.1,92.75
2019-07-14,491,Sunday,7,112,1,1,11,15.7,13.7,91.75
2019-07-15,492,Monday,7,98,0,1,11,.80000001,14.1,82
2019-07-16,493,Tuesday,7,97,0,1,11,0,16.700001,84.25
2019-07-17,494,Wednesday,7,87,0,1,11,0,18.299999,88.5
2019-07-18,495,Thursday,7,103,0,1,11,0,23.5,84.5
2019-07-19,496,Friday,7,96,0,1,11,0,21.5,86.25
2019-07-20,497,Saturday,7,101,1,1,11,0,28.700001,75.5
2019-07-21,498,Sunday,7,85,1,1,11,0,28.6,73.25
2019-07-22,499,Monday,7,93,0,1,11,0,26.4,80.5
2019-07-23,500,Tuesday,7,81,0,1,11,5.1999998,18.799999,95
2019-07-24,501,Wednesday,7,63,0,1,11,79.400002,18.4,96
2019-07-25,502,Thursday,7,86,0,1,11,18.200001,20,90.5
2019-07-26,503,Friday,7,91,0,1,11,0,20.200001,88.75
2019-07-27,504,Saturday,7,96,1,1,11,1.2,14.1,88
2019-07-28,505,Sunday,7,110,1,1,11,.2,17.299999,83.25
2019-07-29,506,Monday,7,119,0,1,11,0,23.9,83.25
2019-07-30,507,Tuesday,7,85,0,1,11,7.8000002,20.6,87.5
2019-07-31,508,Wednesday,7,98,0,1,11,0,24,80
2019-08-01,509,Thursday,8,91,0,1,11,0,29.6,77.5
2019-08-02,510,Friday,8,95,0,1,11,15.8,16,71.25
2019-08-03,511,Saturday,8,116,1,1,11,0,15.3,67
2019-08-04,512,Sunday,8,131,1,1,11,0,16.200001,76.25
2019-08-05,513,Monday,8,108,0,1,11,0,22.1,79.5
2019-08-06,514,Tuesday,8,99,0,1,11,.2,28.299999,72.5
2019-08-07,515,Wednesday,8,124,0,1,11,0,29.9,72.75
2019-08-08,516,Thursday,8,88,0,1,11,0,27.4,88.25
2019-08-09,517,Friday,8,109,0,1,11,10.3,22.4,93
2019-08-10,518,Saturday,8,120,1,1,11,5.5999999,20.4,79.75
2019-08-11,519,Sunday,8,133,1,1,11,0,20.200001,80.25
2019-08-12,520,Monday,8,98,0,1,11,1.5,19.1,94.5
2019-08-13,521,Tuesday,8,71,0,1,11,15.2,14.2,62.25
2019-08-14,522,Wednesday,8,131,0,1,11,0,14.3,84
2019-08-15,523,Thursday,8,114,0,1,11,.1,22.700001,77.75
2019-08-16,524,Friday,8,99,0,1,11,0,28.1,71.5
2019-08-17,525,Saturday,8,68,1,1,11,0,30.200001,51.5
2019-08-18,526,Sunday,8,85,1,1,11,0,26,74.25
2019-08-19,527,Monday,8,78,0,1,11,.1,14.4,75.75
2019-08-20,528,Tuesday,8,75,0,1,11,0,16.1,76.25
2019-08-21,529,Wednesday,8,99,0,1,11,0,16.1,82.75
2019-08-22,530,Thursday,8,87,0,1,11,0,19.9,71.5
2019-08-23,531,Friday,8,132,0,1,11,0,18.200001,83
2019-08-24,532,Saturday,8,91,1,1,11,0,21.5,73
2019-08-25,533,Sunday,8,109,1,1,11,0,25.1,67
2019-08-26,534,Monday,8,103,0,1,11,0,23.6,69
2019-08-27,535,Tuesday,8,107,0,1,11,0,26,78
2019-08-28,536,Wednesday,8,82,0,1,11,0,28.799999,77.5
2019-08-29,537,Thursday,8,91,0,1,11,0,32.799999,65
2019-08-30,538,Friday,8,95,0,1,11,0,28.5,74
2019-08-31,539,Saturday,8,98,1,1,11,28.6,18.700001,89.25
2019-09-01,540,Sunday,9,102,1,1,11,1,20.700001,70.75
2019-09-02,541,Monday,9,94,0,1,11,0,21,69.75
2019-09-03,542,Tuesday,9,101,0,1,11,0,17.9,70.25
2019-09-04,543,Wednesday,9,116,0,1,11,0,17.6,60
2019-09-05,544,Thursday,9,113,0,1,11,0,16.200001,70
2019-09-06,545,Friday,9,100,0,1,11,0,19.799999,86.25
2019-09-07,546,Saturday,9,65,1,1,11,9.8000002,20.9,93.25
2019-09-08,547,Sunday,9,91,1,1,11,9,27.5,86
2019-09-09,548,Monday,9,105,0,1,11,1.6,36.200001,62.25
2019-09-10,549,Tuesday,9,98,0,1,11,0,29,81.75
2019-09-11,550,Wednesday,9,98,0,1,11,.2,19,94.75
2019-09-12,551,Thursday,9,84,0,1,11,26.200001,18.200001,94.25
2019-09-13,552,Friday,9,65,0,1,11,2.8,20,73.5
2019-09-14,553,Saturday,9,103,1,1,11,.2,23.799999,82.75
2019-09-15,554,Sunday,9,100,1,1,11,0,32.400002,70
2019-09-16,555,Monday,9,91,0,1,11,0,27,84
2019-09-17,556,Tuesday,9,88,0,1,11,10,16.4,93
2019-09-18,557,Wednesday,9,126,0,1,11,30.9,17.700001,88.25
2019-09-19,558,Thursday,9,117,0,1,11,.1,27.700001,78.25
2019-09-20,559,Friday,9,69,0,1,11,0,21.5,71.75
2019-09-21,560,Saturday,9,131,1,1,11,0,21.700001,71.25
2019-09-22,561,Sunday,9,90,1,1,11,0,20.4,69
2019-09-23,562,Monday,9,116,0,1,11,0,21.200001,70.75
2019-09-24,563,Tuesday,9,105,0,1,11,0,25.200001,69
2019-09-25,564,Wednesday,9,104,0,1,11,0,25.1,76.25
2019-09-26,565,Thursday,9,100,0,1,11,0,26.299999,62.75
2019-09-27,566,Friday,9,90,0,1,11,0,23.200001,72.5
2019-09-28,567,Saturday,9,99,1,1,11,0,24.700001,68.5
2019-09-29,568,Sunday,9,94,1,1,11,0,28.299999,76.25
2019-09-30,569,Monday,9,85,0,1,11,.1,34.700001,65.25
2019-10-01,570,Tuesday,10,87,0,1,11,0,36.799999,54
2019-10-02,571,Wednesday,10,93,0,1,11,0,28.799999,88.75
2019-10-03,572,Thursday,10,72,0,1,11,10.8,20.799999,93.5
2019-10-04,573,Friday,10,89,0,1,11,21.5,23.200001,95.75
2019-10-05,574,Saturday,10,80,1,1,11,64.699997,21,93.25
2019-10-06,575,Sunday,10,88,1,1,11,8.8999996,19.1,87.75
2019-10-07,576,Monday,10,90,0,1,11,1.1,27.700001,71.25
2019-10-08,577,Tuesday,10,104,0,1,11,0,28.700001,72.25
2019-10-09,578,Wednesday,10,88,0,1,11,0,29.1,70.25
2019-10-10,579,Thursday,10,84,0,1,11,.1,32.200001,65.5
2019-10-11,580,Friday,10,86,0,1,11,0,36.799999,54.5
2019-10-12,581,Saturday,10,74,1,1,11,0,38.400002,54.75
2019-10-13,582,Sunday,10,74,1,1,11,0,30.4,79
2019-10-14,583,Monday,10,82,0,1,11,1.8,21.6,92.25
2019-10-15,584,Tuesday,10,92,0,1,11,29.5,18.9,88
2019-10-16,585,Wednesday,10,105,0,1,11,.40000001,20.700001,89
2019-10-17,586,Thursday,10,111,0,1,11,21.1,23.6,93.5
2019-10-18,587,Friday,10,63,0,1,11,18.799999,28.5,77.5
2019-10-19,588,Saturday,10,112,1,1,11,0,22.799999,71
2019-10-20,589,Sunday,10,102,1,1,11,0,22,67.75
2019-10-21,590,Monday,10,91,0,1,11,.89999998,19.799999,89.5
2019-10-22,591,Tuesday,10,86,0,1,11,12.8,23.200001,79.5
2019-10-23,592,Wednesday,10,80,0,1,11,0,26.9,75.5
2019-10-24,593,Thursday,10,105,0,1,11,0,27.799999,63.75
2019-10-25,594,Friday,10,93,0,1,11,0,27.4,66
2019-10-26,595,Saturday,10,106,1,1,11,0,31.200001,69
2019-10-27,596,Sunday,10,118,1,1,11,5,22.299999,92.75
2019-10-28,597,Monday,10,116,0,1,11,18.200001,29.700001,73.5
2019-10-29,598,Tuesday,10,98,0,1,11,.2,26.1,89
2019-10-30,599,Wednesday,10,116,0,1,11,15.2,21.6,95
2019-10-31,600,Thursday,10,80,0,1,11,49.099998,20.9,91
2019-11-01,601,Friday,11,101,0,1,11,0,25.4,82
2019-11-03,602,Sunday,11,80,1,1,11,2.5999999,24.1,75
2019-11-04,603,Monday,11,103,0,1,11,.1,21.9,93.5
2019-11-05,604,Tuesday,11,109,0,1,11,38.5,25.299999,81.75
2019-11-06,605,Wednesday,11,117,0,1,11,.1,26.4,64.25
2019-11-07,606,Thursday,11,99,0,1,11,6.1999998,26,87.5
2019-11-08,607,Friday,11,119,0,1,11,1.5,28.9,78.25
2019-11-09,608,Saturday,11,108,1,1,11,0,28.299999,78
2019-11-10,609,Sunday,11,130,1,1,11,.80000001,23.1,89.25
2019-11-11,610,Monday,11,115,0,1,11,2.5,25,79.25
2019-11-12,611,Tuesday,11,108,0,1,11,.1,30.299999,72
2019-11-13,612,Wednesday,11,105,0,1,11,0,31.1,65.75
2019-11-14,613,Thursday,11,90,0,1,11,14,29.200001,84.75
2019-11-16,614,Saturday,11,97,1,1,11,0,26.700001,66
2019-11-17,615,Sunday,11,105,1,1,11,0,30.1,59.25
2019-11-18,616,Monday,11,109,0,1,11,0,31.799999,59.5
2019-11-19,617,Tuesday,11,98,0,1,11,0,32.299999,69
2019-11-20,618,Wednesday,11,106,0,1,11,0,34.099998,68.25
2019-11-21,619,Thursday,11,93,0,1,11,0,34.5,64.5
2019-11-22,620,Friday,11,82,0,1,11,.40000001,33.5,78
2019-11-23,621,Saturday,11,114,1,1,11,11.6,25.1,68
2019-11-24,622,Sunday,11,109,1,1,11,0,24.799999,62
2019-11-25,623,Monday,11,115,0,1,11,0,28.1,66.5
2019-11-26,624,Tuesday,11,107,0,1,11,0,28.6,75.75
2019-11-27,625,Wednesday,11,103,0,1,11,3,24.5,80.75
2019-11-28,626,Thursday,11,97,0,1,11,.5,27.6,54.75
2019-11-29,627,Friday,11,107,0,1,11,0,32.200001,58.75
2019-11-30,628,Saturday,11,121,1,1,11,0,32.700001,63.5
2019-12-01,629,Sunday,12,118,1,1,11,0,28.299999,60.75
2019-12-02,630,Monday,12,109,0,1,11,0,25.5,58
2019-12-03,631,Tuesday,12,91,0,1,11,0,28.5,54
2019-12-04,632,Wednesday,12,85,0,1,11,0,33.200001,74.5
2019-12-05,633,Thursday,12,107,0,1,11,6.6999998,27.299999,68
2019-12-06,634,Friday,12,106,0,1,11,0,29.1,52
2019-12-07,635,Saturday,12,97,1,1,11,0,29.5,61.25
2019-12-08,636,Sunday,12,88,1,1,11,0,32.299999,61
2019-12-09,637,Monday,12,103,0,1,11,0,34.200001,58
2019-12-10,638,Tuesday,12,113,0,1,11,0,35.099998,51
2019-12-11,639,Wednesday,12,94,0,1,11,0,35.400002,60
2019-12-12,640,Thursday,12,104,0,1,11,0,33,56
2019-12-13,641,Friday,12,114,0,1,11,0,28.200001,58
2019-12-14,642,Saturday,12,122,1,1,11,0,32.299999,66.75
2019-12-15,643,Sunday,12,113,1,1,11,0,34.599998,68.25
2019-12-16,644,Monday,12,109,0,1,11,8,27.6,73.25
2019-12-17,645,Tuesday,12,104,0,1,11,.1,28.299999,65.75
2019-12-18,646,Wednesday,12,134,0,1,11,0,28.5,63.5
2019-12-19,647,Thursday,12,110,0,1,11,0,32.400002,63.5
2019-12-20,648,Friday,12,112,0,1,12,0,35.599998,61.25
2019-12-21,649,Saturday,12,128,1,1,12,4.3000002,29.700001,67.75
2019-12-22,650,Sunday,12,155,1,1,12,0,26.6,53.25
2019-12-23,651,Monday,12,165,0,1,12,0,30.1,51.75
2019-12-24,652,Tuesday,12,130,0,1,12,0,34.299999,54
2019-12-26,653,Thursday,12,115,0,1,12,0,35.400002,63.25
2019-12-27,654,Friday,12,117,0,1,12,0,38.799999,63.75
2019-12-28,655,Saturday,12,82,1,1,12,0,39,58.25
2020-01-03,656,Friday,1,59,0,0,12,.80000001,27.9,71
2020-01-05,657,Sunday,1,58,1,0,12,.1,32.599998,65
2020-01-06,658,Monday,1,65,0,0,12,0,36.200001,61
2020-01-07,659,Tuesday,1,78,0,0,12,.1,31.6,67.25
2020-01-08,660,Wednesday,1,85,0,0,12,0,31.700001,62.75
2020-01-09,661,Thursday,1,78,0,0,12,0,37.700001,65.25
2020-01-10,662,Friday,1,57,0,0,12,.60000002,36.799999,76.75
2020-01-11,663,Saturday,1,67,1,0,12,17.299999,31.799999,77.75
2020-01-12,664,Sunday,1,77,1,0,12,3.2,32.700001,57.75
2020-01-13,665,Monday,1,83,0,0,12,0,31.6,68.25
2020-01-14,666,Tuesday,1,99,0,0,12,0,35,66.25
2020-01-15,667,Wednesday,1,79,0,0,12,0,35,73
2020-01-16,668,Thursday,1,79,0,0,12,17.799999,25.4,64.25
2020-01-17,669,Friday,1,101,0,0,12,0,27.1,62
2020-01-18,670,Saturday,1,85,1,0,12,0,30.799999,66
2020-01-19,671,Sunday,1,84,1,0,12,0,34.400002,67
2020-01-20,672,Monday,1,90,0,0,12,0,35.599998,67.5
2020-01-21,673,Tuesday,1,68,0,0,12,0,31,81.5
2020-01-22,674,Wednesday,1,101,0,0,12,6.3000002,29.4,75
2020-01-23,675,Thursday,1,92,0,0,12,0,28.200001,74.25
2020-01-24,676,Friday,1,98,0,0,12,1.4,30.4,70
2020-01-25,677,Saturday,1,111,1,0,12,0,32,57
2020-01-26,678,Sunday,1,93,1,0,12,0,34.099998,65.25
2020-01-27,679,Monday,1,74,0,0,12,0,33.200001,82
2020-01-28,680,Tuesday,1,89,0,0,12,14.8,30.6,73
2020-01-29,681,Wednesday,1,98,0,0,12,0,27.5,81.5
2020-01-30,682,Thursday,1,85,0,0,12,2,28.5,79.75
2020-01-31,683,Friday,1,88,0,0,12,6.3000002,30.299999,82.5
2020-02-01,684,Saturday,2,95,1,0,12,2.2,30.1,71.75
2020-02-02,685,Sunday,2,106,1,0,12,0,33,71.25
2020-02-03,686,Monday,2,99,0,0,12,.2,31.4,73.25
2020-02-04,687,Tuesday,2,90,0,0,12,0,33,70.75
2020-02-05,688,Wednesday,2,62,0,0,12,0,35.400002,67.25
2020-02-06,689,Thursday,2,89,0,0,12,0,36.799999,69.25
2020-02-07,690,Friday,2,81,0,0,12,0,35,66.5
2020-02-08,691,Saturday,2,104,1,0,12,0,36.400002,74.25
2020-02-09,692,Sunday,2,62,1,0,12,30.4,27.799999,72.5
2020-02-10,693,Monday,2,84,0,0,12,0,27.299999,73.75
2020-02-11,694,Tuesday,2,95,0,0,12,0,27.9,69.75
2020-02-12,695,Wednesday,2,108,0,0,12,0,29.5,71.75
2020-02-13,696,Thursday,2,96,0,0,12,0,32.700001,61
2020-02-14,697,Friday,2,102,0,0,12,0,30.799999,62.75
2020-02-15,698,Saturday,2,86,1,0,12,.2,35.400002,62.75
2020-02-16,699,Sunday,2,82,1,0,12,0,37.400002,61.5
2020-02-17,700,Monday,2,76,0,0,12,0,37.799999,64.75
2020-02-18,701,Tuesday,2,64,0,0,12,.60000002,34,79
2020-02-19,702,Wednesday,2,94,0,0,12,9,32.400002,66
2020-02-20,703,Thursday,2,87,0,0,12,0,30.5,67.25
2020-02-21,704,Friday,2,80,0,0,12,0,26.5,61.75
2020-02-22,705,Saturday,2,66,1,0,12,0,25.4,63
2020-02-23,706,Sunday,2,72,1,0,12,0,28,67.75
2020-02-26,707,Wednesday,2,70,0,0,12,40.599998,26,70.5
2020-02-27,708,Thursday,2,81,0,0,12,0,27.9,64.75
2020-02-28,709,Friday,2,84,0,0,13,0,30.6,64.75
2020-02-29,710,Saturday,2,92,1,0,13,0,30.6,70
2020-03-01,711,Sunday,3,69,1,1,13,0,30.799999,68
2020-03-02,712,Monday,3,80,0,1,13,0,29.200001,66
2020-03-04,713,Wednesday,3,78,0,1,13,0,29.700001,67
2020-03-05,714,Thursday,3,98,0,1,13,0,28.799999,67
2020-03-06,715,Friday,3,85,0,1,13,0,29.799999,70
